sim,d_s,field,region,time_window,nrmse,n_nodes,n_times,rmse,denom,denom_type
sim_A_025,5,vorticity,all,peak,8.563317e-01,17989,28,1.631407e+04,1.905111e+04,fom_vorticity_rms
sim_A_025,5,vorticity,all,decay,8.566018e-01,17989,55,1.496675e+04,1.747224e+04,fom_vorticity_rms
sim_A_025,5,vorticity,all,quiescent,8.699954e-01,17989,51,1.484180e+04,1.705963e+04,fom_vorticity_rms
sim_A_025,5,vorticity,near,all,8.607265e-01,8931,150,2.175328e+04,2.527316e+04,fom_vorticity_rms
sim_A_025,5,vorticity,near,excitation,8.563946e-01,8931,44,2.313030e+04,2.700893e+04,fom_vorticity_rms
sim_A_025,5,vorticity,near,peak,8.563193e-01,8931,28,2.315246e+04,2.703719e+04,fom_vorticity_rms
sim_A_025,5,vorticity,near,decay,8.565900e-01,8931,55,2.124050e+04,2.479658e+04,fom_vorticity_rms
sim_A_025,5,vorticity,near,quiescent,8.699842e-01,8931,51,2.106318e+04,2.421099e+04,fom_vorticity_rms
sim_A_025,5,vorticity,wake,all,3.647865e+00,4541,150,6.343171e+01,1.738872e+01,fom_vorticity_rms
sim_A_025,5,vorticity,wake,excitation,3.575203e+00,4541,44,6.363118e+01,1.779792e+01,fom_vorticity_rms
sim_A_025,5,vorticity,wake,peak,3.574401e+00,4541,28,6.359621e+01,1.779213e+01,fom_vorticity_rms
sim_A_025,5,vorticity,wake,decay,3.672806e+00,4541,55,6.342059e+01,1.726761e+01,fom_vorticity_rms
sim_A_025,5,vorticity,wake,quiescent,3.687089e+00,4541,51,6.327112e+01,1.716018e+01,fom_vorticity_rms
sim_A_025,5,vorticity,far,all,1.042549e+00,4517,150,2.600063e+02,2.493947e+02,fom_vorticity_rms
sim_A_025,5,vorticity,far,excitation,1.034217e+00,4517,44,2.859322e+02,2.764721e+02,fom_vorticity_rms
sim_A_025,5,vorticity,far,peak,1.032360e+00,4517,28,2.935705e+02,2.843684e+02,fom_vorticity_rms
sim_A_025,5,vorticity,far,decay,1.046362e+00,4517,55,2.506173e+02,2.395130e+02,fom_vorticity_rms
sim_A_025,5,vorticity,far,quiescent,1.048175e+00,4517,51,2.460941e+02,2.347834e+02,fom_vorticity_rms
sim_A_025,10,vx,all,all,1.663984e-01,11075,150,2.487329e+01,1.494803e+02,global_range_vx
sim_A_025,10,vx,all,excitation,1.672881e-01,11075,44,2.500627e+01,1.494803e+02,global_range_vx
