phase,kind,step,train_loss,valid_loss,wall_s
adam_r1,iter,7,0.5363151949929176,0.5408513337646325,2611.0843427181244
adam_r1,iter,8,0.45448371889511147,0.4577074825950741,2619.5892417430878
adam_r1,iter,9,0.520003881700098,0.5221012856171842,2627.67067193985
adam_r1,iter,10,0.31612938574224825,0.31939895489813325,2636.7293639183044
adam_r1,iter,11,0.3317485285648264,0.3342266457648207,2645.322111606598
adam_r1,iter,12,0.3296702789510478,0.32973498889645086,2654.1019575595856
adam_r1,iter,13,0.2951134418340396,0.2962337770813881,2662.8087198734283
adam_r1,iter,14,0.3189655977716209,0.32091129490310283,2671.69194316864
adam_r1,iter,15,0.25898620479938406,0.26136189321350306,2681.042611837387
adam_r1,iter,16,0.2371820226524244,0.23912494385697597,2690.0662331581116
adam_r1,iter,17,0.22829191509450567,0.2305312827666154,2698.9806485176086
adam_r1,iter,18,0.18283007272799046,0.1852484065898618,2708.0671577453613
adam_r1,iter,19,0.18137573309888955,0.18348645007792444,2717.189783334732
adam_r1,iter,20,0.16123411455206302,0.16270954659725298,2726.4274389743805
adam_r1,iter,21,0.13213344860929332,0.13367332482133465,2735.9216475486755
adam_r1,iter,22,0.12885745200050044,0.13049594553248245,2745.536602497101
adam_r1,iter,23,0.11926577368525629,0.12106646269017836,2754.8103182315826
adam_r1,iter,24,0.10558047724553203,0.10735842097356016,2763.718302488327
adam_r1,iter,25,0.09904630163973657,0.10079877670104856,2772.74622631073
adam_r1,iter,26,0.09519056368561071,0.09696607713542474,2781.5167100429535
adam_r1,iter,27,0.09089862095558505,0.09252539666777335,2790.17285823822
adam_r1,iter,28,0.0796271989967631,0.08107898317579193,2799.086354494095
adam_r1,iter,29,0.07528925090560788,0.07666524005255257,2807.385077238083
adam_r1,iter,30,0.0655945028835154,0.06704392624240393,2816.1623661518097
adam_r1,iter,31,0.06250774826445812,0.06403856157583951,2823.7687361240387
adam_r1,iter,32,0.0572548518060243,0.05877694458237113,2832.110560655594
